VOL_PULL,V_HR8_SOV,V_HR18_SOV,DY_TOT
1,527.8,1184.02,11358.91
2,1760.07,649.25,12107.76
3,3208.13,1944.14,33494.78
4,1529.89,2823.01,32035.77
5,1043.62,909.61,13868.14
6,666.66,1047.05,12824.35
7,4306.18,2336.46,41254.15
8,1772.63,3612.66,40090.08
9,1611.84,1529.61,17993.21
10,8.1,11.84,62.11
11,351.54,1055.73,8260.58
13,1971.48,2597.18,26315.89
14,1422.73,380.61,9283.84
15,2644.41,2298.11,28165.72
16,1221.68,1917.5,18881.88
18,1446.64,758.99,6996.17
19,235.32,1686.65,6391.78
20,3418.12,3356.17,33312.06
21,2879.73,3984.76,34557.5
22,5055.96,3486.4,52800.03
23,2642.75,4907.52,53043.73
24,696.02,248.96,5206.11
25,177.42,480.1,4624.91
26,3912.51,3025.69,45978.76
27,2386.94,3689.22,45986.14
28,368.17,502.89,6023.44
29,430.14,534.17,7002.35
30,1487.66,967.77,14340.09
31,409.53,991.87,11460.87
32,1143.45,460.72,6821.27
33,3013.25,2427.23,34539.75
34,2627.78,3097.95,38405.27
35,114.67,238.43,2834.11
36,218.3,167.78,3039.26
37,2590.09,1219.71,13817.44
38,491.13,2904.94,13449.37
39,3013.25,2427.23,34539.75
40,2731.41,3027.3,38610.42
41,532.89,243.01,4152.13
42,273.89,397.89,4002.52
43,10.66,77.41,568.1
44,51.71,40.09,524.36
45,264.8,1367.16,5706.5
46,1322.18,719.94,6690.6
47,3930.64,2944.94,36427.27
48,2809.37,4074.67,39707.18
49,226.32,1537.78,7742.87
50,1267.91,499.77,7126.84
51,272.98,225.05,2941.04
52,289.27,256.11,3050.93
53,1333.42,2435.81,16976.99
54,1725.78,2346.6,16682.42
55,2174.06,1809.32,28182.19
56,1428.87,2818.78,31057.64
57,66.9,245.59,1258.54
58,87.89,129.94,1063.01
59,506.49,351.04,4566.33
60,430.96,458.59,5013.9
61,2483.1,2052.25,31246.37
62,1834.42,2838.51,33478.71
63,293.23,1783.37,9001.41
64,1355.79,629.71,8189.85
65,719.86,325.87,4498.72
66,164.23,1067.1,5393.04
67,2634.61,2013.24,28605.99
68,1759.47,2981.93,30320.82
69,1236.4,1122.96,12700.63
70,971.57,1412.93,13078.38
71,2327.14,2114.17,26178.29
72,1716.83,2792.89,27515.38
73,635.94,303.84,3691.13
74,129,716.27,3608.37
75,0,129.14,1082.61
76,0,0,0
77,1716.83,2663.75,26432.77
78,2327.14,2114.17,26178.29
79,50.24,235.61,2065.04
80,321.39,154.69,2327.53
81,0,49.6,330.29
82,0,126.39,1193.53
83,262.56,256.61,2693.82
84,152.48,363.53,2967.14
85,34.44,92.37,665.45
86,125.16,102.18,1121.45
87,1554.61,2712.32,25130.99
88,2235.27,2102.14,24093.08
89,0,0,0
90,0,0,0
91,635.94,303.84,3691.13
92,129,716.27,3608.37
93,361.13,1273.49,9724.12
94,690.94,632.84,8265.4
95,1589.25,1906.73,20473.86
96,1940.1,1937.19,20894.67
97,2576.04,2241.04,24585.8
98,1718.25,2623,24082.23
99,249.7,340.01,4307.11
100,55.85,301.72,2789.98
101,0,68.92,183.23
102,70.58,184.15,1556.14
103,753.04,612.7,9217.9
104,348.8,1126.84,10055.42
105,289.46,211.27,3019.02
106,241.26,332.87,3449.11
110,255.81,1218.3,7057.58
111,2608.46,2225,29736.67
112,2544.57,2707.51,34000.68
